alt;become frozen
llellcwélqw;flute, whistle,  E  hollow 4" piece of branch with notch, bark left on but loosened so that it can slide to produce different tones.
llellegwílc;jump up and down
llelléllq̓t;fairly broad
llellentés;stabbed/jabbed in many places
llellúcwem;putting on one's coat/dress
llellúcw;jacket, coat,   E  dress
llelt̓pentés;flicked
llemín̓ten;harpoon pole
llemnúsem;fall flat on one's face
llemúk̓w;land instantly and be completely submerged into tall grass, deep snow
llén̓e!;"let's forget it!" (give up an idea)
llénemt;shattered as tree hit by lightning
llénllen;cascara Rhamnus purshiana.
llenstés;gave up and left stg. or someone,   E  to forget
llentés;poke, stab, sting
llépens;s/he forgot
llepenwéllen;s/he has forgotten stg.
llepkém;inhaling cigarette smoke
llepkentés;he inhaling cigarette smoke
llepllp̓éqs;turkey
llépsem;extinguish
llépsens;extinguish
llepsóy̓e, tllepsóy̓e,  -ú;eyelash
llepsóy̓e, tsepllúy̓e;eyelashs
llept;fire has gone out
lleqelcmíns;they sat and visited with
lléqelc;sat down (plur.).
lléqelc;set up camp
lleqelctsín;they sat at the shore, camped near the river
lleq̓emélten;teacher
lléq̓em;stretch a hide onto a tanning frame
lléq̓ens;stretch a hide onto a tanning frame
lleqép;something slams together instantly as, wind with a door
lleqéq;has stuck to the surface, as paper, a stamp etc.
lleqlléllq̓t;fish (wide ones)
lleqlléq̓ll;ribs
lleqlleqmín;blanket***
lleq̓mélt;teach, instruct children
lleq̓mém;correcting the behaviour of children or others
lleq̓mentés;he correcting the behaviour of children or others
lleqmém̓llp;poison ivy
lleq̓mentsút;decided stg. on his/her own
lleqmímen;bedding
lleqmín;bedding
lleq̓t;broad, wide
lleq̓út;crouched down, lie face down
lleq̓wqenúpye7;Broad-leaf Plantain
lletk̓úm;s/he forked up stg.
lletk̓wentsúten;fork
lletk̓wtsínten;fork
lletllát̓;soaking wet
llet̓pém;flicked stg. off
llet̓pentés;he flicked stg. off
llet̓pílc;hopping action as of  rabbits, grasshoppers
llet̓púy̓e;stg. hits the forehead
llétsem;tidying up
llétsens;tidying up
llétsqenten;hairbrush, comb
llewt;back side  E side, flank
llexmém;visiting one's distant beloved ones (as married woman visiting faraway parents)
llexwéxusem;150 Mile House
llexwméke7;pin (as on a wagon-wheel)
llexwpenwén̓s;manage to escape with...
llexwpstés;lost (game or domestic animal) which ran away
llgum;lost stg.
llgup;dropped, lost (sing.)
llgwentés;dropped, lost stg. (sing.)
llgwenwéllen;lost stg. belonging to someone else
llgwilc;jump
llícwpem,  llecwpúm,-entés (E -ens);hang up stg.
llígens/llgentés;dropped them
llígwem;to drop, lose (plur. objects).
llígwens;to drop, lose (plur. objects).
llígwpemt;dropped, lost (plur.).
llígwpens;lost (plur.).
llík̓emt;strings are broken
llíkemt;worn out
llikt;worn out
llík̓wem;picking chokecherries, currents, grapes picked in bunches
llík̓wemt;string breaks, net rips
llílens;s/he sprinkle a few drops
llíˆlke;perfume
llímemt;snapped apart of string article
llímens;s/he has broke the strings on...
llimt;snapped apart
llíqwem;mash, mashed
llíqwens;mash, mashed
llíqwemt;bruised, abraded (skin),  smashed up
llíqwemt;food is crushed or smashed
llíq̓wtsnem;blabber mouth
llítk̓wem,-ens (also lletk̓-úm,-wentés);pick up with a fork as in  pitching  hay
llíxwpemt;escaped (plur.)
llk̓entés/llík̓ens;broke (a rope, string, wool)
llk̓ep;broken (of string article)
llkepépye7;small dishpan
llkepípelt;tea kettle of the old syrup/lard pail
llkep;pot, bucket
llk̓um;forked up
llk̓upt;pricked (as by thorn)
llk̓úselp̓ten;stove poker
llkwék̓wqen̓s;picking up with a spit/spike
llk̓wentés;forked up
llnéy̓e;target practice
llníle;forgetting about the young taken away
llníts̓em;sprinkle, smashed up of articles
llníts̓ens;sprinkle, smashed up of articles
llnits̓t;splashed, sprayed onto stg. or someone
llnok̓wt;hiccupping after  crying
llnót̓em;sniff back snot
llótsem,-ens (also á);pounding,  mashing
llótske7, - á;pestle
llp̓él̓sem,  tllp̓él̓sem;hang ing clothes on a clothes-line, or over a branch, rail
llp̓él̓sem,  tllp̓él̓sens;hang ing clothes on a clothes-line, or over a branch, rail
llp̓énkten;ribbon
llp̓én̓kten;ribbon
llq̓elqw;wide plank
llqem;paste or tack on
llqentés;he paste or tack on
llqent;snow falling in large flakes
llqéq̓ne7k;fish (unid., possibly bass or perch)***
llqum;See k̓qq̓entés. ***
llqwél̓sem;hung out laundry, hung over a branch etc.
llqwél̓sens;hung out laundry, hung over a branch etc.
llqwentés;heaved into piles,  E  to pile up
llq̓wetmús;face down
llq̓wtílep;lie on one's stomach
llq̓wtus;ice fishing
llts̓élepem;fir boughs/leaves down as a mat to sit on
llts̓élep;hay/branches as a temporary floor mat
llts̓em;pile/ spread hay/branches
llts̓entés;he pile/ spread hay/branches
llts̓épem, tellts̓ép-em;piling branches (berries) in front of one /sb.
llts̓épem, tellts̓ép-ens;piling branches (berries) in front of one /sb.
lltsetsék;mother-in-law
lltuk̓w;caught on stg.,   E  to give a start
llucwllucwentén̓;small beret
lluléksens;acomplishing more hand work than someone
llúlem;scraping the uneven spots of a tanned hide before smoking it with punky wood.
llúlens;scraping the uneven spots of a tanned hide before smoking it with punky wood.
lluléy̓ens;pretend to leave someone behind during a walk
llúllcwem̓;stringing  (fish, beads, etc.)
llúllcwens;he stringing  (fish, beads, etc.)
llúmelc,-mens;downward swoop of birds to catch prey
llúmkwe;sip broth
llúmllkwem;eat soup
llúmyen;catch a fish on a fishing rod
lluqém;pry loose, peel away
lluqentés;he pry loose, peel away
llúqwlecw;ground, soil
llúxwke7;awl
llwelcícken̓;jumped on a horse's back
llwélens;abandoned
llwell;left behind of people
llwell,  sllwell;left behind, left alone.
llwélsten;fall, autumn
llweq;peeled away
llxumc;puberty (of boy or girl)
llxumc, tsetsllxúmc;puberty
llxum;threaded  a needle, put in a stitch
llxup;escape (sing.)
llxwentés;put thread in the eye of needle/beads
llxwépem̓;threading a needle
llxwépens;he threading a needle
llxwilc;taking a short cut across fields/bushs
lop;rope  N
l-té7e,  té7el;what's-his/her- name
ltwilc,  letwílc;healthy once again
lu7;those times/articles etc. in the past
lúgwens;hid  stg.
lukín;four-wheeled cart
lúkwem̓;rub off dirt in the sweatlodge
lúkwens;he rub off dirt in the sweatlodge
lekwentés;rub off dirt in the sweatlodge
luk̓wt;fell through the ice
lúlem;sing a lullaby
lúlens;sing a lullaby
lúlem;singing a lulaby to a baby
lúlen;merganser, a diving duck that eats fish
lúlqwem;plucking  feathers
lúlqwens;plucking  feathers
lupékst;chapped hands
lúqwem;pulling out by the roots
lúqwens;pulling out by the roots
lúqwtsenten;tweezers for pulling out beard-hairs
lúqwtsnem;pulling out beard-hairs
lúte7;camp robber (grey)
lúte7;grey camp robber
lúts̓em;tighten
lúts̓ens;tighten
luts̓t;tight
luyenmíns;used as bait on a snare
m7ekw,  -a;has gotten blunt of a knife blade, scissors etc.
m7ell;pain eases up, E  feel better, rested
m7ey;getting close by, in space or time
m7ixw;melting, melted
m7ut̓;clouds/fog  come thick from the mountains
m7uts;liquid rises to overflowing
málcwem;making a certain kind of soup  Do
málelc;horse turns it's head in nervousness
malt;deerlick
máltem;licking  salt
mánte;canvas
mát̓elc;mixing in with a crowd of people
máts̓pe7;wasp, blackjacket
me7 ckíllenc;divide
mé7e;yes
mé7e;yes
me7;future tense
me7 kllntec;subract
me7 q̓entéc;add
me7steméws;brothers, sisters and cousins (collectively)
me7stméws,  sme7stméws;blood relation
mecécye7;small birchbark basket
mecéy̓e;small birch basket
mecmécens;skéwered onto sticks   ???
mécst̓ye7;spear grass
mect;got a sliver
megcen;moon, menstrual cycle
megmégt;brown
megmégt;grey
megwt;humming like a swarm of bees
mek̓p;testicle
mekw7úsens;covered  someone's  face
mekwmékw, -á;is blunt, dull
mekwmékwem;chewing without teeth
melaméle;baptizing a child
melámen;medicine
melámens;gave medicine to, blessed, baptized, performed a marriage ceremony to
melcecíc;kicked about
melcécqe7;cottonwood pitch
melcém;kicked,  E  dance
melcentés;he kicked,  E  dance
melcey̓úpe7;horse kicks up in an attemp to buck while being ridden
melemállcw;painting a house, walls
melemáy̓lek̓-em;washing a hide in brain water during the tanning process
melemáy̓lek̓-ens;washing a hide in brain water during the tanning process
melemst̓i7í7elt;wolf's cub
melemst̓ye7í7elt;wolf cub
mélemst̓ye;wolf
melenllpáltecw;balsam-tree bark
melénllp;balsam tree, Alpine fir Abies grandis
melép;in an instant, used as a measure in time
melkém;swallow large pieces of food
melk̓úm;gathered objects together
melk̓wcít.s;suspect,gather evidence against
mélk̓wens;gather up as berries that are spread out drying
melk̓wentés;collect into one whole, round up, gather one's forces
melk̓wílc,  plek̓wílc;gathering of people
melkwpákst;dislocated wrist
melk̓wyénst;tuck in bedding
mell7úpekst;forty
mell;already
méllecst.s,  mát̓elcst.s;taking (children) for a nap
méllelc;rested
méllellc,  met̓elcálk̓;lie down to rest on a blanket/sheet  (plur.).
mellém;throw  logs/rocks  down a hill or cliff
mellentés;he throw  logs/rocks  down a hill or cliff
méllens;rested a part of the body
mellép;losing a footing and rolling down a hillside, E  to cave in
mellép;roll down a mtn. like a log
melléq;flattened/collapsed metal
mellméllkstem̓;resting the hands
mellqém;flatten out, crush flat
mellqentés;he flatten out, crush flat
melltmécwem;put a bearhead in water (to induce rain) Do
mellts̓wén̓;curing salmon by salting, drying and lightly smoking it
melmállcwem;painting the house/structure
melmálqw-em;dying in colours
melmálqw-ens;dying in colours
melmálqw-em;paint, dye stg.
melmálqw-ens;paint, dye stg.
melmélem;entice
melmélens;entice
melmélksens;disturbed someone's  physical work
melmeltéllp;white poplar Populus tremuloides.
melókw;out of joint
melóqw,  mluqw;sprained
mélqens;pacify (a child) ***
mem̓céllp;large basket carried on the back
méme7;mother
memelk̓úm;trying  hard, concentrating on
memeltéllp;balsam trees  ***
mémelt;whitefish
memémus;couple (male and female animal)
meméws;couple (human male and female)
mémlemt;shadow flashes by
mémle;necklace
mém̓qelt;animal protects it's young
mém̓yelc;move a little closer,attend any meeting
menékem;defecate
menék;excrement
meníle;feed one's children/family,  E  dinner given for a number of guests
meníp;harpoon
menmenép;shade under trees, porch etc.
menmén;shade
menmenúlecw;shady spot
mentsq̓ú7, úle,úllen;pelican
meq̓;full stomache
méqse7;uncle (woman's father's brother)
mesmescném;inching forward feeling one's way with the feet
mesténs;tried doing stg.
mestentsút;tried one's best at a job, chore
mestk̓emqín̓cen;rectangle
metcúm,-wentés;lay in a big supply of stg.
metcwílc;prepare a store of food/wood/clothing etc.
met̓élc;gathering close together of people, birds, animals
mét̓em;mixed
mét̓ens;mixed
méte/mét̓e;together with so and so
metemí7;remaining seated for a very long time, residing  permanently
metép;sitting under a tree, table
metéq;dented
metés;s/he fed it
metíken̓;sitting on the ice (sing.)
metk̓úm;pull down to the ankles
metk̓wentés;slip stg. down
metk̓wépens;pulled down a diaper/trousers
metk̓wpús,  -e7;rope slips from an animals neck
metmát;soft, supple
metmet̓ús;kidneys
metól;blood clots
metqentés;s/he dented  it
mets̓c;dodge
méts̓e;bringing home game killed
mets̓esmúll;cheater
metsíken̓;water on top of ice
metsín;sat at the edge of a water
metsín̓;sitting at the doorstep
metskwéllp;bush of the wild loganberry Rubus leucodermis
metsmets̓múllmetsmets̓ (es) múll;cheats in a game all the time
metsmets̓úll;cheater
metsúkw;wild loganberry, black raspberry, blackcap
mets̓úllt;filled with pus
mets̓úsem̓,  mets̓úsem;cheat
mets̓úsem̓;put cream on one's face
met̓t;mixed
metúk̓w;slipped down accidently
metwécw;provided food for one another
mewt;wind howls
mexúp;deep snow on the ground
mexwétkwe7;melted snow (to obtain water)
mexwpúplecw;first snow, snow has melted
méyelc;to move nearby.  ***
méyem;to bring closer.***
méyens;to bring closer.***
mígwem;cat's  meow
migwt;wind is howling
migw;wind howls
míkwens;chipped
milcts/melcít.s;give sb. his share
mílem;divide up  ***
mílens;divide up  ***
mílem;one who hands out food after a hunt/drying
mim̓c;basket
mimcw;moving to another place
miméy;close by
mimíns;got close to it
mimúy;supple
míq̓wemt;sagging stockings
mítk̓ye;blood
míxwem;melted
míxwens;melted
míykwemt;has broken without being severed
mólelc;lie down (plur.).
mólem;putting  down dry objects  ie:  potatoes/apples on the floor
mólens;putting  down dry objects  ie:  potatoes/apples on the floor
m-;past tense
mteq, estmetéq;dented
mu7;cone-shaped fish weir
mu7t;fish weir
mulc;cottonwood, poplar Populus trichocarpa.
mulqs;drink from a stream  ***
mums;four animals or small objects.
músem;feel with the palms of the hand
músens;feel with the palms of the hand
mus;four
mut;at home, camped, living at (sing.)
mút̓em;squeezing out a paste like substance
mút̓ens;squeezing out a paste like substance
mut̓t;squeezed out
múyem;bending  objects   ie:  wire, supple branches etc.
múyens;bending  objects   ie:  wire, supple branches etc.
muy̓qs;fishnet hoop
muy̓t;fish weir
múy̓tsens;placing a wooden hoop at the top of birch-baskets to strengthen the tops of them.
myeq;knees buckle,  E  to kneel on one knee
myukw;broken (without being severed)
n7eq̓;rotten
n7ikw;ripples on the water
n7oy;bent
ncet̓ectsín,  necet̓ectsín;groaning, moaning
ncet̓pétkwe,  necet̓pétkwe;stuck in/under water
ncetstém̓,  necetstém̓;bottom of pan gets scorched
ncet̓tsín̓em;baking bread over open fire
ncíkwemnecíykwem;stirred a liquid
ncíkwemnecíykwens;stirred a liquid
ncíkwe;stirring a liquid
nclílctn;spawning ground
ncnélesten,   necnélesten;floor-covering
ncnústen̓,  necnústen̓;window
ncwéyens,  necwéyens;losing/destroying  someone's possession
ncwéyt,  necwéymens;feeling bad about a loss,  E  to mourn the dead
ncweyt,  necwéyt;sorry, saddened about a loss of a possession
ne7élye;here
ne7éne;right here
ne7úllcw;entered
necálenkten;wallpaper
necálsem  W,  cálem,-ens  I.;hanging up curtains or a mat.
necálsten;curtains
necécpelc;flapping the wings
necelclánk;steep slope
neceltsenállcwtn;sweat-lodge door covering
necen7ústen;window(-pane)
necenqín̓s,  lemetqín̓s;closed a lid
necentsín̓s  W,  celmetsín̓s  N, E;s/he closed a door
necetenmín;leader  Do
necetsíken̓;scorched  one's back
necetsítsken̓;scorching one's back
necíkwem;stirring a liquid
necit̓lcéles,  necet̓elcéles;knelt on the floor
necmétkwem̓;setting the fish weir in water
necmétkwens;he setting the fish weir in water
necnústen̓,  ctsék̓wsten;window
necsisyéqsem;feel a sneeze coming
necúcwkwelc;slipped out of a sleeping bag
necw7ús;star that often remains visible during the day  Do
necwemcwem̓qín;suddenly, without warning
necwemí7;knocked out, in a coma, killed
necwemí7st.s;killed
necwentés;believed
necwetpépelqs;end of story
necwetpílt;no longer having children
necwmelltá7a;good-for-nothing
necwnecwtsín;speaking loud
necwyéwt;sorry, saddened
negwílc,-mens;hide (from)
nehé7e(n);where, where abouts?
neh;should we?  only in a teasing manner.
nek̓7ú7ps;eight
nek̓e7céystem;tuberculosis
nekéct;thicket, brushy place, forest
nék̓elc;changing one's self into another being
nék̓em;change
nék̓ens;change
nekép;delicous food, tasty
nekllts̓e7sqéxe7;horse
nekník̓ens;s/he cut stg. into pieces
néksem;put cream on the face
néksens;put cream on the face
nek̓ú7eses;once upon a time
nek̓ú7;one
nek̓u7pll7úpekst;eighty
nek̓ú7ses;once in awhile
nek̓ú7 te mégcen;one month
nek̓ú7 te swucwt;one year
nekúk̓w7e;one (animal) or small object
nek̓úlecw;one particular place/area
nek̓úlsens;take revenge
nek̓úsem,  nek̓w7úsem);all one tribe, population of settlement, group
nekuwéllcw;sing when leaving on a fishing or gathering expedition.
nek̓w7éllcw;one/other  house/room
nek̓w7ésq̓t;one day/day one/Monday
nek̓w7ú7ps;eight
nek̓w7úlecw;one particular place
nek̓w7úse7;one  round object
nek̓w7úsem;one tribe or one family
nek̓wéken;one sack
nek̓welltyéynecwem;one year old
nek̓wélqw;one pencil, match, ruler etc
nekwepelúsens;pushed sb. into a fire
nek̓wesestsút;animals (collectively)
nek̓wésq̓t,  sptekésq̓t;Monday
nek̓westsút;alone
